frequency(MHz),757,825,885,952,1012,1080,1140,1207,1275,1335,1402,1462,1530
3MM,0.5481,0.6256,0.6715,0.7154,0.7490,0.7971,0.8353,0.8719,0.9044,0.9269,0.9538,0.9721,1.0000
FDTD,0.7380,0.8419,0.9505,0.9981,1.0056,1.0056,1.0056,1.0075,1.0056,1.0056,1.0000,1.0019,1.0000
Schmidt,0.6196,0.6757,0.7353,0.7740,0.8000,0.8333,0.8591,0.8850,0.9174,0.9363,0.9597,0.9785,1.0000
BiCG,0.5570,0.6331,0.6752,0.7145,0.7543,0.7904,0.8211,0.8489,0.8859,0.9119,0.9412,0.9688,1.0000
Walsh,0.7267,0.8123,0.8977,0.9365,0.9522,0.9657,0.9709,0.9810,0.9862,0.9902,0.9939,0.9967,1.0000
BScholes,0.7438,0.8268,0.9203,0.9632,0.9739,0.9817,0.9829,0.9900,0.9934,0.9954,0.9968,0.9985,1.0000
CFD,0.5772,0.6777,0.7319,0.7788,0.8096,0.8430,0.8680,0.8949,0.9227,0.9422,0.9632,0.9807,1.0000
CNN_1.5M,0.9938,0.9998,1.0062,1.0023,0.9957,1.0020,0.9857,1.0001,1.0000,0.9941,1.0042,0.9979,1.0000
CNN_1.8M,0.9816,0.9978,0.9920,0.9999,1.0123,0.9980,1.0040,0.9876,1.0144,1.0039,1.0123,1.0020,1.0000
CNN_2.4M,0.6218,0.7059,0.7566,0.8000,0.8333,0.8696,0.8889,0.9160,0.9375,0.9554,0.9740,0.9820,1.0000
SortNet,0.6789,0.7818,0.8375,0.8790,0.9006,0.9211,0.9358,0.9509,0.9653,0.9738,0.9826,0.9911,1.0000
LSTM,0.6054,0.6759,0.7219,0.7601,0.7987,0.8356,0.8637,0.8938,0.9190,0.9403,0.9607,0.9799,1.0000
RNN,0.6058,0.6795,0.7249,0.7611,0.8011,0.8356,0.8611,0.8924,0.9261,0.9511,0.9741,0.9895,1.0000
Transpose,0.6249,0.7542,0.8303,0.8646,0.8887,0.9126,0.9314,0.9460,0.9610,0.9731,0.9819,0.9927,1.0000
SRAD,0.6785,0.7592,0.8271,0.8727,0.8952,0.9189,0.9344,0.9471,0.9652,0.9737,0.9841,0.9893,1.0000
RL-PPO,0.9879,0.9980,0.9960,0.9921,0.9940,0.9980,1.0062,0.9960,1.0021,1.0021,1.0000,0.9980,1.0000
Diffusion,0.6412,0.7645,0.8328,0.8695,0.8953,0.9243,0.9413,0.9589,0.9679,0.9828,0.9865,0.9961,1.0000
Reduct,0.6638,0.7891,0.8738,0.9188,0.9393,0.9567,0.9607,0.9768,0.9789,0.9810,0.9872,0.9915,1.0000
BWtest,0.7164,0.8649,0.9288,0.9648,0.9765,0.9834,0.9830,0.9900,0.9931,0.9945,0.9961,0.9981,1.0000
FFT,0.6776,0.7640,0.8410,0.8856,0.9093,0.9313,0.9411,0.9569,0.9687,0.9778,0.9859,0.9927,1.0000
GeMM,0.5126,0.5652,0.6068,0.6526,0.6932,0.7350,0.7705,0.8073,0.8519,0.8863,0.9226,0.9570,1.0000
DeiT_s,0.7546,0.8323,0.8841,0.9196,0.9450,0.9694,0.9740,0.9810,0.9833,0.9904,0.9952,1.0000,1.0000
ViT_t,0.9798,0.9837,0.9878,0.9878,0.9918,0.9918,0.9918,0.9980,0.9959,0.9980,0.9980,1.0000,1.0000
ViT_s,0.7541,0.8330,0.8850,0.9227,0.9518,0.9701,0.9763,0.9806,0.9869,0.9891,0.9956,0.9956,1.0000
ViT_b,0.6144,0.6980,0.7521,0.8004,0.8349,0.8725,0.8949,0.9184,0.9483,0.9588,0.9776,0.9915,1.0000
XCiT,0.6905,0.7661,0.8079,0.8500,0.8686,0.8925,0.9061,0.9249,0.9469,0.9623,0.9728,0.9862,1.0000
DeiT_t,0.9818,0.9837,0.9878,0.9858,0.9898,0.9918,0.9918,0.9980,0.9939,1.0000,1.0000,1.0000,1.0000
ShuffleN,0.9441,0.9744,0.9786,0.9828,0.9870,0.9913,0.9957,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RegNet,0.6257,0.7057,0.7557,0.8034,0.8358,0.8620,0.8898,0.9119,0.9377,0.9594,0.9735,0.9851,1.0000
ResN50,0.6015,0.6711,0.7246,0.7707,0.8048,0.8439,0.8715,0.9009,0.9259,0.9524,0.9709,0.9852,1.0000
ResN101,0.5884,0.6635,0.7124,0.7593,0.7918,0.8320,0.8589,0.8875,0.9181,0.9446,0.9682,0.9861,1.0000
ResN152,0.5955,0.6698,0.7199,0.7654,0.7970,0.8346,0.8618,0.8926,0.9217,0.9464,0.9725,0.9861,1.0000
VGG19,0.6082,0.6853,0.7350,0.7864,0.8189,0.8595,0.8889,0.9123,0.9455,0.9630,0.9811,0.9905,1.0000
